"""","２学年_男(人)","２学年_女(人)","３学年_男(人)","３学年_女(人)","４学年_男(人)","４学年_女(人)","５学年_男(人)","５学年_女(人)","６学年_男(人)","６学年_女(人)"
"平成26年(2014年)","4056.0","3900.0","4036.0","3859.0","4225.0","3892.0","4383.0","4238.0","4485.0","4291.0"
"","","","","","","","","","",""
"   和歌山市","1525.0","1501.0","1499.0","1431.0","1588.0","1474.0","1685.0","1597.0","1639.0","1605.0"
"   海 南 市","187.0","179.0","193.0","171.0","205.0","197.0","204.0","220.0","224.0","224.0"
"   橋 本 市","290.0","312.0","281.0","263.0","296.0","260.0","276.0","301.0","306.0","297.0"
"   有 田 市","106.0","125.0","135.0","121.0","137.0","100.0","141.0","130.0","159.0","142.0"
"   御 坊 市","100.0","98.0","95.0","76.0","111.0","116.0","112.0","96.0","159.0","108.0"
"   田 辺 市","303.0","316.0","324.0","344.0","325.0","327.0","347.0","343.0","326.0","367.0"
"   新 宮 市","131.0","122.0","134.0","98.0","136.0","103.0","109.0","119.0","130.0","126.0"
"   紀の川市","281.0","225.0","268.0","236.0","280.0","232.0","273.0","272.0","311.0","258.0"
"   岩 出 市","300.0","237.0","261.0","295.0","299.0","278.0","294.0","307.0","322.0","307.0"
"","","","","","","","","","",""
"   紀美野町","21.0","20.0","24.0","23.0","25.0","17.0","28.0","36.0","28.0","26.0"
"","","","","","","","","","",""
"   かつらぎ町","57.0","58.0","73.0","69.0","62.0","59.0","82.0","67.0","63.0","64.0"
"   九度山町","12.0","15.0","20.0","20.0","18.0","10.0","15.0","15.0","15.0","18.0"
"   高 野 町","12.0","8.0","5.0","8.0","9.0","8.0","13.0","10.0","3.0","4.0"
"","","","","","","","","","",""
"   湯 浅 町","51.0","50.0","62.0","58.0","60.0","41.0","48.0","53.0","43.0","60.0"
"   広 川 町","28.0","35.0","31.0","33.0","34.0","33.0","47.0","29.0","27.0","35.0"
"   有田川町","114.0","104.0","115.0","101.0","121.0","128.0","119.0","91.0","144.0","103.0"
"","","","","","","","","","",""
"   美 浜 町","23.0","38.0","26.0","25.0","33.0","32.0","31.0","30.0","34.0","23.0"
"   日 高 町","30.0","34.0","39.0","44.0","44.0","36.0","46.0","39.0","37.0","44.0"
"   由 良 町","29.0","17.0","23.0","16.0","23.0","19.0","24.0","20.0","35.0","21.0"
"   印 南 町","50.0","40.0","50.0","25.0","33.0","38.0","31.0","33.0","51.0","38.0"
"   みなべ町","61.0","82.0","63.0","69.0","66.0","62.0","77.0","77.0","72.0","77.0"
"   日高川町","46.0","38.0","36.0","45.0","56.0","49.0","52.0","39.0","48.0","41.0"
"","","","","","","","","","",""
"   白 浜 町","88.0","61.0","79.0","90.0","68.0","76.0","83.0","91.0","87.0","77.0"
"   上富田町","83.0","64.0","59.0","68.0","62.0","69.0","75.0","69.0","73.0","75.0"
"   すさみ町","14.0","12.0","13.0","7.0","16.0","9.0","20.0","10.0","16.0","14.0"
"","","","","","","","","","",""
"   那智勝浦町","53.0","51.0","57.0","58.0","54.0","57.0","62.0","65.0","64.0","58.0"
"   太 地 町","8.0","4.0","9.0","11.0","9.0","13.0","13.0","14.0","10.0","11.0"
"   古座川町","8.0","11.0","10.0","3.0","7.0","10.0","10.0","6.0","5.0","7.0"
"   北 山 村","0.0","0.0","4.0","0.0","1.0","0.0","4.0","1.0","1.0","1.0"
"   串 本 町","45.0","43.0","48.0","51.0","47.0","39.0","62.0","58.0","53.0","60.0"
