"""","中学校数(校)","学級編制方式別学級数_学級数総  数(学級)","学級編制方式別学級数_単式学級(学級)","学級編制方式別学級数_複式学級(学級)","学級編制方式別学級数_特別支援学級(学級)","学級編制方式別生徒数_生徒数総　数(人)","学級編制方式別生徒数_単式学級(人)","学級編制方式別生徒数_複式学級(人)","学級編制方式別生徒数_特別支援学級(人)"
"平成26年(2014年)","137.0","1140.0","986.0","3.0","151.0","28528.0","28089.0","16.0","423.0"
"","","","","","","","","",""
"   和歌山市","26.0","388.0","344.0","0.0","44.0","11476.0","11319.0","0.0","157.0"
"   海 南 市","7.0","61.0","48.0","0.0","13.0","1311.0","1283.0","0.0","28.0"
"   橋 本 市","10.0","81.0","66.0","0.0","15.0","1864.0","1811.0","0.0","53.0"
"   有 田 市","4.0","31.0","29.0","0.0","2.0","812.0","810.0","0.0","2.0"
"   御 坊 市","5.0","30.0","28.0","0.0","2.0","780.0","776.0","0.0","4.0"
"   田 辺 市","16.0","94.0","81.0","1.0","12.0","2259.0","2227.0","5.0","27.0"
"   新 宮 市","6.0","41.0","38.0","0.0","3.0","939.0","931.0","0.0","8.0"
"   紀の川市","8.0","68.0","59.0","0.0","9.0","1743.0","1713.0","0.0","30.0"
"   岩 出 市","2.0","57.0","52.0","0.0","5.0","1730.0","1707.0","0.0","23.0"
"","","","","","","","","",""
"   紀美野町","3.0","14.0","10.0","1.0","3.0","218.0","211.0","4.0","3.0"
"","","","","","","","","",""
"   かつらぎ町","2.0","16.0","12.0","0.0","4.0","366.0","353.0","0.0","13.0"
"   九度山町","2.0","9.0","7.0","0.0","2.0","104.0","101.0","0.0","3.0"
"   高 野 町","2.0","7.0","5.0","0.0","2.0","41.0","38.0","0.0","3.0"
"","","","","","","","","",""
"   湯 浅 町","1.0","14.0","12.0","0.0","2.0","371.0","366.0","0.0","5.0"
"   広 川 町","2.0","10.0","9.0","0.0","1.0","207.0","204.0","0.0","3.0"
"   有田川町","6.0","34.0","30.0","0.0","4.0","774.0","766.0","0.0","8.0"
"","","","","","","","","",""
"   美 浜 町","1.0","8.0","7.0","0.0","1.0","179.0","178.0","0.0","1.0"
"   日 高 町","1.0","8.0","8.0","0.0","0.0","221.0","221.0","0.0","0.0"
"   由 良 町","1.0","7.0","5.0","0.0","2.0","142.0","139.0","0.0","3.0"
"   印 南 町","4.0","14.0","13.0","0.0","1.0","223.0","222.0","0.0","1.0"
"   みなべ町","3.0","20.0","16.0","0.0","4.0","419.0","410.0","0.0","9.0"
"   日高川町","5.0","25.0","20.0","0.0","5.0","390.0","385.0","0.0","5.0"
"","","","","","","","","",""
"   白 浜 町","4.0","27.0","22.0","1.0","4.0","537.0","519.0","7.0","11.0"
"   上富田町","1.0","16.0","14.0","0.0","2.0","449.0","439.0","0.0","10.0"
"   すさみ町","2.0","7.0","6.0","0.0","1.0","91.0","90.0","0.0","1.0"
"","","","","","","","","",""
"   那智勝浦町","4.0","17.0","15.0","0.0","2.0","368.0","366.0","0.0","2.0"
"   太 地 町","1.0","3.0","3.0","0.0","0.0","75.0","75.0","0.0","0.0"
"   古座川町","2.0","8.0","6.0","0.0","2.0","93.0","90.0","0.0","3.0"
"   北 山 村","1.0","2.0","2.0","0.0","0.0","5.0","5.0","0.0","0.0"
"   串 本 町","5.0","23.0","19.0","0.0","4.0","341.0","334.0","0.0","7.0"
